"Name","Abbreviation","Description"
"OTHER","OTH",""
"FREE ON BOARD","FOB","The supplier is responsible for delivering the goods on board the vessel at the port of shipment. The buyer takes responsibility from that point, including transportation and insurance."
"FREE CARRIER","FCA","The supplier delivers the goods to the carrier or another nominated person at the agreed location. The buyer is responsible for all risks and costs from that point onward."
"FREE ALONGSIDE SHIP","FAS","The supplier is responsible for delivering the goods alongside the vessel at the port of shipment. The buyer assumes all risks and costs from that point."
"EX WORKS","EXW","The supplier is responsible for making the goods available at their premises. The buyer bears all risks and costs from that point onward, including transportation and insurance."
"DELIVERED EX SHIP","DES","The supplier is responsible for delivering the goods to the port of destination. The buyer is responsible for unloading, duties, and onward transportation."
"DELIVERED EX QUAY","DEQ","The supplier is responsible for delivering the goods at the quay (wharf) of the destination port. The buyer assumes all costs and risks from that point."
"DELIVERED DUTY UNPAID","DDU","The supplier delivers the goods to the agreed destination but does not cover import duties or taxes. The buyer is responsible for those costs."
"DELIVERED DUTY PAID","DDP","The supplier is responsible for delivering the goods to the agreed destination, including import duties and taxes. The buyer assumes responsibility only after delivery."
"DELIVERED AT TERMINAL","DAT","The supplier delivers the goods to a terminal at the named destination. The buyer is responsible for all risks and costs after the goods are unloaded at the terminal."
"DELIVERED AT PLACE","DAP","The supplier delivers the goods to the agreed destination. The buyer is responsible for unloading and assumes all risks and costs thereafter."
"DELIVERED AT FRONTIER","DAF","The supplier delivers the goods to the frontier, before the customs border of the destination country. The buyer is responsible for customs clearance and onward delivery."
"COST INSURANCE AND FREIGHT","CIF","The supplier is responsible for the cost of goods, insurance, and freight to the destination port. The buyer assumes responsibility for unloading and import clearance."
"COST AND FREIGHT","CFR","The supplier is responsible for the cost of goods and freight to the destination port. The buyer assumes risk once the goods are loaded on the vessel."
"CARRIAGE PAID TO","CPT","The supplier pays for carriage to the named destination. The buyer assumes the risk once the goods are handed over to the first carrier."
"CARRIAGE AND INSURANCE PAID TO","CIP","The supplier pays for carriage and insurance to the named destination. The buyer assumes risk after the goods are handed over to the first carrier."
