module,type,name,res_id,src,value,comments
auth_totp,model,"ir.actions.server,name",auth_totp.action_disable_totp,Disable two-factor authentication,Деактивиране на двуфакторно удостоверяване,
base,model,"ir.actions.server,name",base.action_run_ir_action_todo,Config: Run Remaining Action Todo,,
base,model,"ir.actions.server,name",base.autovacuum_job_ir_actions_server,Base: Auto-vacuum internal data,,
base,model,"ir.actions.server,name",base.demo_failure_action,"Failed to install demo data for some modules, demo disabled","Неуспешно инсталиране на демо данни за някои модули, демото е деактивирано",
base,model,"ir.actions.server,name",base.ir_cron_res_users_deletion_ir_actions_server,Base: Portal Users Deletion,База: Изтриване на потребители на портал,
kojto_base,model,"ir.actions.server,name",kojto_base.action_import_ecb_90d_rates,Import ECB 90-Day Rates,Импортирайте 90-дневни курсове на ЕЦБ,
kojto_base,model,"ir.actions.server,name",kojto_base.action_import_ecb_daily_rates,Import ECB Daily Rates,Импортирайте дневните курсове на ЕЦБ,
kojto_base,model,"ir.actions.server,name",kojto_base.action_import_ecb_historical_rates,Import ECB Historical Rates,Импортиране на исторически курсове на ЕЦБ,
kojto_base,model,"ir.actions.server,name",kojto_base.ir_cron_import_ecb_rates_00_ir_actions_server,Import ECB Daily Rates - 00:00 UTC,Импортирайте дневните курсове на ЕЦБ - 00:00 UTC,
kojto_base,model,"ir.actions.server,name",kojto_base.ir_cron_import_ecb_rates_12_ir_actions_server,Import ECB Daily Rates - 12:00 UTC,Импортирайте дневните курсове на ЕЦБ - 12:00 UTC,
kojto_finance,model,"ir.actions.server,name",kojto_finance.action_open_wizard_export_cashflow_to_ajur,Export Cashflow To Ajur,Експортиране на паричен поток към Ajur,
kojto_finance,model,"ir.actions.server,name",kojto_finance.action_open_wizard_export_invoices_to_ajur,Export Invoices To Ajur,Експортиране на фактури към Ajur,
kojto_finance,model,"ir.actions.server,name",kojto_finance.action_open_wizard_export_single_invoice_to_ajur,Export Single Invoice To Ajur,Експортиране на единична фактура към Ajur,
kojto_hr,model,"ir.actions.server,name",kojto_hr.add_one_year,Add one more year,Добавете още една година,
kojto_landingpage,model,"ir.actions.server,name",kojto_landingpage.server_action_open_landingpage,Home,Начало,
web,model,"ir.actions.server,name",web.download_contact,Download (vCard),Изтегляне (vCard),
web_tour,model,"ir.actions.server,name",web_tour.tour_export_js_action,Export JS,Експортиране на JS,
auth_totp,model,"ir.model,name",auth_totp.model_auth_totp_device,Authentication Device,Устройство за удостоверяване,
auth_totp,model,"ir.model,name",auth_totp.model_auth_totp_rate_limit_log,TOTP rate limit logs,Регистрационни файлове за ограничение на скоростта на TOTP,
auth_totp,model,"ir.model,name",auth_totp.model_auth_totp_wizard,2-Factor Setup Wizard,Съветник за 2-факторна настройка,
web_unsplash,model,"ir.model,name",web_unsplash.model_res_users,User,Потребител,
base,model,"ir.model,name",base.model__unknown,Unknown,Неизвестен,
